SA2_5DIG11,GEOM_CENTROID
11194,152.086439026384 -28.9438606752507
11195,149.826538871254 -29.4610593058949
11196,149.70364813561 -29.2295385001755
11197,149.802826724445 -30.3531319010033
11198,149.522373714827 -30.3335879616165
11199,150.22302681521 -30.9844169698988
11200,150.17489099404 -30.9911590078063
11201,150.438038077911 -31.5504997573926
11202,150.955030315736 -31.155460734478
11203,150.961613262848 -31.092224420548
11204,150.860784612427 -31.0910401240162
11205,150.879414762014 -30.87680460343
11206,151.67837850037 -33.0189413819395
11207,151.653870425209 -33.0640544577613
11208,151.708007583171 -32.9757977889749
11209,151.659852264895 -32.9422951512952
11210,151.672114120421 -32.9901733307657
11211,151.709717678551 -33.0090282054452
11212,151.626399623249 -33.1301789910624
11213,151.64525794649 -33.0048078130776
11214,151.641043954634 -32.9632702562205
11215,151.600996714934 -32.9626810978708
11216,151.540573845413 -33.1094369022793
11217,151.614741480167 -32.9137462888081
11218,151.453441818843 -33.0827009575302
11219,151.55892415562 -33.0162868064046
11220,151.580777992978 -33.0532026776439
11221,151.55807223756 -32.9294493577535
11222,151.711746499651 -32.9441893931096
11223,151.660187722523 -32.8273895365516
11224,151.740753711714 -32.9243275877016
11225,151.704544988043 -32.9240423513911
11226,151.638020459996 -32.8754612053319
11227,151.730322298178 -32.8916013712624
11228,151.743439746172 -32.9472643501551
11229,151.774209112851 -32.9310455210906
11230,151.744519167196 -32.8694977523602
11231,151.695904095748 -32.8818623163653
11232,151.825432736925 -32.853916762801
11233,151.656049971411 -32.9032952379541
11234,151.717533326025 -32.9040264526266
11235,151.755071107781 -32.9128005656804
11236,153.554872699132 -28.8473797698355
11237,153.472015779909 -28.8600951559925
11238,153.500841075521 -28.6733856450413
11239,153.543473742789 -28.5474049099958
11240,153.600154140094 -28.6810383591776
11241,153.313773839035 -29.1392831534441
11242,153.583873024067 -28.7874461771539
11243,153.442877386131 -28.5479034510687
11244,153.040393896918 -28.844091335846
11245,152.84656154494 -28.929432094391
11246,153.33185156397 -28.822971262751
11247,152.879532472735 -28.5132409349486
11248,153.285991535942 -28.8195094492933
11249,153.269856759654 -28.7509115393178
11250,153.551996375288 -28.2582692977199
11251,153.398235559464 -28.3348798278003
11252,153.297169236232 -28.3787445511396
11253,153.508325685486 -28.4002858982292
11254,153.449532418337 -28.2168901058279
11255,153.504867506097 -28.2360467055545
11256,146.048474575586 -34.2813008385125
11257,145.681656489989 -33.9012763797493
11258,146.410591383054 -34.5384475164868
11259,146.51011286489 -34.75008757366
11260,148.125256195939 -36.0222027204549
11261,148.218194043072 -35.3173322989435
11262,148.357534841216 -35.4527150960152
11263,148.016524021697 -34.5995214006599
11264,148.144123188646 -35.0230133230706
11265,147.677924555428 -34.8143157752641
11266,147.379787683932 -34.3932437182761
11267,147.401076786858 -35.1498782609587
11268,147.407017602458 -35.0733736844515
11269,147.339744357806 -35.1536721743287
11270,147.308715780335 -35.1293781727929
11271,147.144441700333 -35.1471808914049
11272,150.578001327354 -34.759220653057
11273,150.722555163298 -34.9905651625574
11274,150.71039926494 -34.9022292303778
11275,150.239879820911 -35.0965672273878
11276,150.665581879435 -35.0661110101467
11277,150.577053277419 -34.8309388258095
11278,150.596527205374 -34.9062649567459
11279,150.612811375572 -35.1034200380287
11280,150.561641971461 -35.1465021401463
11281,150.512793489555 -34.9969393604228
11282,150.451156104539 -35.3433223797356
11283,150.353892198683 -35.3765696348377
11284,150.41941282021 -34.4866955383476
11285,150.492274802766 -34.3608495620757
11286,150.487150790306 -34.4590828557099
11287,150.372653423936 -34.5325689958255
11288,150.502615356211 -34.6139940812055
11289,150.24904893707 -34.4655309378103
11290,150.988005691877 -33.7599846025628
11291,150.964408366892 -33.742370837013
11292,150.999118615269 -33.7296873271395
11293,151.04166332905 -33.7220641785132
11294,150.998831166698 -33.7021118751425
11295,150.959819523737 -33.7127977810116
11296,151.030322721117 -33.7500189481111
11297,150.982326838183 -33.5465049977817
11298,151.078607497396 -33.5494760198952
11299,150.782887118851 -33.2708353970678
11300,150.748627169494 -33.527194998409
11301,150.880402301751 -33.6024380176831
11302,150.921087028199 -33.663023118157
11303,150.911550090995 -33.7568493603359
11304,150.889312296536 -33.7485997378428
11305,150.898781823295 -33.7817496751367
11306,150.872046414103 -33.7649465663774
11307,150.939094086565 -33.7617792728175
11308,150.925733316936 -33.7931175888486
11309,150.934764082208 -33.735684245473
11310,150.917797352805 -33.7103358449457
11311,150.893299860502 -33.7251378766486
11312,150.845782732972 -33.6920533689192
11313,150.818131729304 -33.7407186563595
11314,150.855803852656 -33.7441396233611
11315,150.837603812133 -33.7435218256836
11316,150.788083999292 -33.7318881906473
11317,150.81285464356 -33.7649740402501
11318,150.864402429424 -33.8090286277413
11319,150.843250983732 -33.7800315644194
11320,151.21524099848 -33.9558239989891
11321,151.200622550352 -33.9490912946894
11322,151.201270681569 -33.9294045145225
11323,151.222928336404 -33.9408252733785
11324,151.222503356754 -33.9721366225281
11325,151.178605299003 -33.9443301389544
11326,151.155552073937 -33.9112593862364
11327,151.161962382484 -33.8947278551939
11328,151.169385475382 -33.920347740254
11329,151.219439824048 -33.8779094044066
11330,151.191469927128 -33.9084794145842
11331,151.184771871354 -33.8792037449339
11332,151.182248982164 -33.8938002963503
11333,151.224078763345 -33.8701335583128
11334,151.195186860407 -33.8732210579565
11335,151.201631004561 -33.8922653439491
11336,151.211973663125 -33.8856189659073
11337,151.207973357546 -33.8681253213573
11338,151.206662006356 -33.9092511046225
11339,151.264863107122 -33.899932611242
11340,151.275268975461 -33.8869904493827
11341,151.250788652249 -33.8971809400363
11342,151.234258859623 -33.8983562150682
11343,151.249568410217 -33.8776140776544
11344,151.279744926908 -33.8710475387277
11345,151.224983031424 -33.8902475083753
11346,151.274137046282 -33.8599774493076
11347,151.243673939621 -33.8867899020207
11348,151.256193926591 -33.9218731979688
11349,151.224300028896 -33.9184686034521
11350,151.244015872934 -33.9726202712667
11351,151.244330160649 -33.9440232691903
11352,151.241090911485 -33.9154947406242
11353,151.031758172922 -33.9222014661851
11354,150.988234851943 -33.9011200187432
11355,151.043989797003 -33.8926652028333
11356,150.999988538998 -33.926698542984
11357,151.058435152821 -33.9043819632198
11358,151.032323140594 -33.95794958764
11359,150.993173258502 -33.9556477925681
11360,151.016220156849 -33.9520106428793
11361,151.020132726272 -33.9022076589066
11362,151.087966532598 -33.9132523082388
11363,151.105144479648 -33.9144862322646
11364,151.118069346326 -33.9281423623913
11365,151.072885461926 -33.9210169471828
11366,151.051816244635 -33.9310421328331
11367,151.075673580044 -33.9352552580171
11368,151.100783444037 -33.9595706903951
11369,151.073549662959 -33.9707613649975
11370,151.076622870945 -33.9488067425125
11371,151.085469958743 -33.9794096910511
11372,151.052159183097 -33.970982975748
11373,151.052427453087 -33.9487189001601
11374,151.105716498725 -33.9842463540672
11375,151.144942613266 -33.9367670006268
11376,151.120836993686 -33.955540537536
11377,151.110348336631 -33.9417917391984
11378,151.137485785153 -33.9682941604789
11379,151.123902428833 -33.9766991118249
11380,151.152810208294 -33.9614248930071
11381,151.141329708534 -33.9511243509648
11382,151.137043189994 -33.9922825856032
11383,151.105810189021 -33.8543534224731
11384,151.089086266034 -33.8436301545143
11385,151.148525990903 -33.8556537668268
11386,151.12931767097 -33.8609422785405
11387,151.181299456017 -33.8559375660078
11388,151.161090053488 -33.8813433934451
11389,151.166943260897 -33.8674405030284
11390,151.126373381068 -33.8897364318668
11391,151.109352907062 -33.8781430234378
11392,151.122404507034 -33.9064409347005
11393,151.102864060537 -33.8945697674289
11394,151.141181421415 -33.9019959183909
11395,151.139282947489 -33.8824252090369
11396,151.075198931856 -33.8629294016312
11397,151.080351859386 -33.8833109187645
11398,151.188158767766 -33.7978524601138
11399,151.165490638954 -33.8012030393626
11400,151.166866938726 -33.8217164263341
11401,151.194113164257 -33.8178567412715
11402,151.212295812139 -33.7996984855684
11403,151.120997102404 -33.659852086786
11404,151.177078908121 -33.5834250124002
11405,151.098590942834 -33.7002486889642
11406,151.081602274576 -33.7191166528397
11407,151.162647201049 -33.760553374158
11408,151.175967538455 -33.7777322347364
11409,151.136641561594 -33.7516069393707
11410,151.170788534937 -33.720871962801
11411,151.139556209158 -33.7107212135726
11412,151.120723907146 -33.7163466923922
11413,151.222206084829 -33.8267114736194
11414,151.199626504365 -33.8319112534329
11415,151.244635091237 -33.8290817171039
11416,151.217713917222 -33.8390161364915
11417,151.20711320787 -33.839121921106
11418,151.253808073723 -33.7978092287765
11419,151.288263789294 -33.803061411724
11420,151.326227189258 -33.6187435175622
11421,151.266355943831 -33.6331155467006
11422,151.316248340398 -33.6521322970378
11423,151.297940594476 -33.6862644031684
11424,151.264486058272 -33.7513939923788
11425,151.267462104814 -33.7317358249431
11426,151.289580034922 -33.7557045115554
11427,151.215795740861 -33.7665071422276
11428,151.219079571157 -33.7323718216309
11429,151.278331859708 -33.770996543636
11430,151.25123379401 -33.7736089494864
11431,151.293811559625 -33.7293517117742
11432,151.212234962862 -33.6695860853643
11433,150.682131965579 -34.0654595488546
11434,150.724957639034 -34.0381247411212
11435,150.753093150165 -34.0591421234486
11436,150.822058311285 -34.1268460160408
11437,150.808320133518 -34.0648820027309
11438,150.806519042938 -34.0245520340752
11439,150.900116810012 -34.1010665208851
11440,150.850178179342 -33.990100719831
11441,150.860832234537 -34.0539385646749
11442,150.893832553765 -33.9854924917682
11443,150.844555757305 -34.0280681171849
11444,150.774464311941 -34.1203804708929
11445,150.599388204202 -34.2725335010178
11446,150.729539946828 -34.1814938320116
11447,150.544097473993 -34.1934508766268
11448,150.550460166021 -34.0579617918809
11449,150.245518419002 -33.6738477916687
11450,150.620902798898 -33.7421032042275
11451,150.445208579637 -33.6024932794746
11452,150.309323520903 -33.7026760269773
11453,150.462246309097 -33.7240518454567
11454,150.59478813779 -33.6903570130232
11455,150.379730912918 -33.7216813689402
11456,150.287917759893 -33.9934803779716
11457,150.733535525377 -33.746130549237
11458,150.706681808258 -33.7005217638295
11459,150.658486861383 -33.7462098790773
11460,150.677384057809 -33.786425568661
11461,150.689170406244 -33.7710565999853
11462,150.740254207445 -33.7659117361123
11463,150.690204640001 -33.8375799479753
11464,150.69712023209 -33.7478373837173
11465,150.598901731967 -33.9182192200734
11466,150.749279093845 -33.5899218460562
11467,150.80851171388 -33.6356941641083
11468,150.726795252727 -33.6518419370825
11469,150.797730460045 -33.8130086386606
11470,150.784700001627 -33.79728071525
11471,150.780713975075 -33.7649886875619
11472,151.02572910182 -33.8547905322287
11473,151.061857104158 -33.8382377605087
11474,151.040014523127 -33.8691236762402
11475,151.055686950891 -33.874208673867
11476,151.047100780006 -33.7737484443807
11477,151.050307256588 -33.8110336969419
11478,151.03953930796 -33.7944127284118
11479,150.998247998014 -33.88201737802
11480,150.972865945412 -33.87446827653
11481,151.007438972903 -33.8379726446184
11482,150.937455901361 -33.8240520985606
11483,151.002055944157 -33.8593487092913
11484,150.969953296765 -33.8454830714168
11485,150.980067380195 -33.8306766238706
11486,150.944023275819 -33.8430818383521
11487,150.966493576752 -33.8600972519312
11488,150.961536843566 -33.8084282344945
11489,151.012010174548 -33.799037331594
11490,151.01717604765 -33.7722330325387
11491,150.993914647264 -33.7900305818447
11492,151.017190289512 -33.8215422693389
11493,150.967264771922 -33.7918843066253
11494,150.978761013639 -33.7764128931139
11495,151.081510751979 -33.7689723327823
11496,151.068492278017 -33.7443338990965
11497,151.085613601966 -33.7919848780918
11498,151.128144760059 -33.8303823219128
11499,151.148954781239 -33.8318282302129
11500,151.118821544087 -33.7786378683602
11501,151.131278921192 -33.7988614210446
11502,151.111176967314 -33.8130952035412
11503,151.08368443704 -33.8095693557709
11504,150.887470124239 -33.9150055435836
11505,150.740460391805 -33.9153542998223
11506,150.728668304182 -33.9831509617341
11507,150.857674494809 -33.9028267974188
11508,150.839463151595 -33.9322975537693
11509,150.881129292562 -33.8925781377372
11510,150.872099788313 -33.8661675336666
11511,150.946065177509 -33.8988818541121
11512,150.907728806734 -33.8993596008918
11513,150.936264968445 -33.8844392668965
11514,150.877779502144 -33.8797050060631
11515,150.951894141933 -33.8711213818862
11516,150.929658266023 -33.8681735080788
11517,150.899703000998 -33.8679439320982
11518,150.820357285503 -33.8486702554535
11519,150.925520568826 -33.8533287733497
11520,150.905403323491 -33.8790355918658
11521,150.898619963482 -33.8404413786239
11522,150.899489094441 -33.9522156435178
11523,150.95307346866 -33.9272154235723
11524,150.944042246344 -33.9914541889765
11525,150.924799987359 -33.9189550141006
11526,150.872364860074 -33.945219417737
11527,151.122131558903 -34.0483613382831
11528,151.179786325104 -34.0341657749717
11529,151.08492077065 -34.0455485505611
11530,151.103411654007 -34.0358657943184
11531,151.107170541609 -34.0154372761726
11532,151.022594485225 -34.0493033629792
11533,150.980626929678 -34.1064864667202
11534,151.033805809828 -33.9948073161159
11535,151.0011937734 -34.0222823945538
11536,151.070346967456 -34.0103254459324
11537,151.067643978311 -34.1114328008512
11538,151.063922223905 -34.0319642565675
19799,
19499,
21001,143.749324078521 -37.5417496087471
21002,143.836658249556 -37.556151747265
21003,143.899482245504 -37.5271601337914
21004,143.862030344937 -37.5933050336941
21005,143.880770350018 -37.6438672069032
21006,143.778471715326 -37.5822417672547
21007,143.746227029789 -37.6202623367444
21008,143.802549511988 -37.4975675014348
21009,144.309708544918 -37.6303310074851
21010,143.835427773427 -37.3541711424227
21011,144.185809311609 -37.3177786624749
21012,144.039359599794 -37.6473411644381
21013,143.374053234661 -37.1089444474581
21014,143.393269206482 -37.495983061367
21015,143.626556475356 -37.77561948729
21016,143.744057535547 -37.0474808220062
21017,143.707098499761 -36.9813494032491
21018,144.270229554144 -36.7484652475676
21019,144.260733735185 -36.7067397044707
21020,144.31556288199 -36.752336882414
21021,144.287124386073 -36.7916320458471
21022,144.242654880338 -36.806416645254
21023,144.207890219942 -36.7538910987498
21024,144.358946189288 -36.7888313915376
21025,144.321751699364 -36.6762495785953
21026,144.245857631813 -36.8433068201586
21027,144.236917254124 -37.083472993613
21028,144.18983623573 -37.0468031123898
21029,144.647715951259 -36.8607740300745
21030,144.505038510629 -37.221429360204
21031,144.517306021088 -37.356327965642
21032,144.367842436544 -36.5623568004338
21033,143.856503933419 -36.3401059617112
21034,144.178664132554 -38.0697676698799
21035,143.939541838925 -37.9420934515083
21036,144.042713152926 -38.2554578225165
21037,144.34212721522 -38.1785745921411
21038,144.32554763742 -38.0537396115138
21039,144.369681475708 -38.1639873638456
21040,144.301967075148 -38.1264739829648
21041,144.319014399766 -38.2199433107548
21042,144.286028176677 -38.1777409960852
21043,144.378069373214 -37.9477931465092
21044,144.468893896519 -38.1928150634034
21045,144.41751692507 -38.1797366147235
21046,144.335071345893 -38.1539083067815
21047,144.321372597445 -38.1021501930471
21048,144.576016666662 -38.1739438239722
21049,144.019586143417 -38.441922162201
21050,144.468100470994 -38.2483791495585
21051,144.665827892425 -38.1533388524234
21052,144.616684992568 -38.2343300080301
21053,144.280676484614 -38.3202346319852
21054,145.794606069574 -37.3187106198798
21055,145.597583985088 -36.7326994566973
21056,144.983272622006 -37.2463572097867
21057,146.20805810758 -37.1970514099678
21058,145.155572539561 -36.8202920776813
21059,145.162142738248 -37.0160224865904
21060,144.95837705076 -37.0459262228963
21061,145.976082555048 -37.6512932693834
21062,145.432488837857 -37.2610576896073
21063,145.996767510853 -36.5789077493828
21064,146.016584342863 -36.5815092918264
21065,146.42634442756 -36.0660198158071
21066,146.309651758937 -36.3589038782944
21067,146.430271904602 -36.5918971911486
21068,146.714709139539 -36.3422064205891
21069,146.996839433515 -36.8960104133367
21070,146.649293016208 -36.1563977985169
21071,146.810698886831 -36.5526529898891
21072,147.599309388769 -36.3545678574384
21073,146.790886890215 -36.1172981531721
21074,146.933211946777 -36.1688996557804
21075,146.997818550631 -36.3298560017119
21076,145.801936168453 -38.1354364266066
21077,146.186249803773 -37.8894145160345
21078,146.126822996041 -38.2239195258412
21079,145.939939594805 -38.2140537278425
21080,148.035916778392 -36.994267669775
21081,147.613983865549 -37.829163748063
21082,147.583023438841 -37.3200816219618
21083,147.763597163484 -37.8830672535737
21084,147.928071398654 -37.8397820557433
21085,148.773942974635 -37.4444920659802
21086,147.560392161857 -37.9608679168332
21087,146.111848131319 -38.6789611934335
21088,145.364899005484 -38.3500136931893
21089,145.768801841976 -38.398404955861
21090,146.044060105505 -38.451130749336
21091,145.240792647362 -38.4906671222057
21092,146.367732710933 -38.9602216991484
21093,145.598407150294 -38.5163566096819
21094,146.417660817678 -38.358853431154
21095,146.295915588971 -38.196613362834
21096,146.421108221487 -38.207680375372
21097,146.588948683227 -38.1943892988056
21098,146.502713240469 -38.0845644167031
21099,146.847835603432 -37.4482599502014
21100,147.25275962631 -38.1437397660288
21101,146.867082746426 -37.8423898649363
21102,146.783634425794 -38.1566069379248
21103,147.056269555997 -38.1046561331448
21104,146.751632434461 -38.4942700969675
21105,144.961266774255 -37.7664415159311
21106,144.977667639244 -37.7689034224926
21107,144.9425361725 -37.7633186249886
21108,144.964201500591 -37.7448746607945
21109,144.938463908108 -37.7434461971582
21110,145.02467462002 -37.7744637830668
21111,145.000149625161 -37.7722237092078
21112,145.00638397461 -37.75816446953
21113,144.913679734738 -37.776975937461
21114,144.907580770884 -37.7506228430032
21115,144.930901986967 -37.7838277048196
21116,144.921429186287 -37.7656258068378
21117,144.967798453298 -37.8005133914862
21118,144.940342865261 -37.8180857929408
21119,144.98147796696 -37.8171547529801
21120,144.912576974525 -37.7879992794753
21121,144.927067903419 -37.7943317789189
21122,144.962564177958 -37.8136247734208
21123,144.94629802082 -37.8011873794413
21124,144.951533270965 -37.7871047889437
21125,144.981871638832 -37.8394422221001
21126,144.967503037038 -37.826351752027
21127,144.92158679716 -37.809462280406
21128,144.964048274309 -37.8456369784724
21129,144.985534447173 -37.8809220934016
21130,144.935100489688 -37.83806654427
21131,144.916979981656 -37.8311629110077
21132,144.957172240163 -37.8333805627403
21133,144.980159027014 -37.8624009008837
21134,144.998182196974 -37.867081124869
21135,145.020704847968 -37.8567600985497
21136,144.998051694071 -37.8528498627826
21137,144.995636986699 -37.8399207978476
21138,145.017608770696 -37.8416171137237
21139,144.99976172964 -37.8045980005844
21140,144.968126503918 -37.7857116682764
21141,144.988135734469 -37.8020913825344
21142,144.97913342279 -37.8010439873804
21143,144.984302070058 -37.7840779306288
21144,145.004045909057 -37.8229066462947
21145,145.012960179135 -37.7898397493856
21146,145.080639226692 -37.8673470564472
21147,145.080556768607 -37.8098055133566
21148,145.083894018709 -37.791890368479
21149,145.074016702736 -37.8384417912322
21150,145.071939105222 -37.8547245471541
21151,145.031571693322 -37.8244073049136
21152,145.049904371001 -37.8312847520407
21153,145.033252550103 -37.8034533059537
21154,145.052385459672 -37.7905678111442
21155,145.084032452482 -37.8245001764516
21156,145.087179936973 -37.7688847587503
21157,145.123852645286 -37.7848282412475
21158,145.163891857884 -37.7788625703179
21159,145.148632981613 -37.754047391628
21160,145.112272610928 -37.7638677650361
21161,145.152907316049 -37.8165583168808
21162,145.14653989083 -37.8393577730602
21163,145.124741104402 -37.8290380114887
21164,145.122691506014 -37.8046925713611
21165,145.112944669957 -37.8480645175178
21166,145.150415699508 -37.8535858660731
21167,145.106895236978 -37.8242948679638
21168,145.037750295914 -37.9808033190904
21169,144.99581679986 -37.9081891082235
21170,145.016305215246 -37.9171495340449
21171,145.037963685624 -37.9574461629678
21172,145.014247972266 -37.9376610955237
21173,145.017105091132 -37.9608521017783
21174,145.037971486081 -37.9194771104946
21175,145.066689399883 -37.9221102616934
21176,145.055897685666 -37.893390634465
21177,145.022903884701 -37.8738801757342
21178,145.025361885784 -37.8913803341726
21179,145.007199505193 -37.8869624140023
21180,145.081135887674 -37.8994802955425
21181,145.070367925567 -37.8968376862912
21182,145.041422514135 -37.9003672035508
21183,145.123075303457 -38.0190995948772
21184,145.12223240281 -37.9980203378576
21185,145.139193777706 -38.0713065646404
21186,145.124612063227 -38.0565967043151
21187,145.134237735707 -38.04084322883
21188,145.066079645176 -37.9611791989258
21189,145.107478124711 -38.0282303714104
21190,145.069048553395 -37.9816445204453
21191,145.079325208486 -37.9503449753586
21192,145.099518069665 -37.9774565133625
21193,145.089443651462 -37.996004690376
21194,145.04226755072 -37.8564121239153
21195,145.065847308801 -37.8768359903387
21196,145.068331595318 -37.6988148927902
21197,145.113895538775 -37.7001016430129
21198,145.069654505932 -37.74571303836
21199,145.04640687026 -37.7429917740348
